test_pack,#iter,time,turn,pass,all_iter,all_time,clock_per_sec
1PC,284,1.948,1000,1000,1000000,-1915.27,1000
1PC,285,1.888,1000,1000,1000000,-1915.27,1000
1PC,286,1.904,1000,1000,1000000,-1915.27,1000
1PC,287,1.932,1000,1000,1000000,-1915.27,1000
1PC,288,1.934,1000,1000,1000000,-1915.27,1000
1PC,289,2.056,1000,1000,1000000,-1915.27,1000
1PC,290,1.873,1000,1000,1000000,-1915.27,1000
1PC,291,1.888,1000,1000,1000000,-1915.27,1000
1PC,292,1.884,1000,1000,1000000,-1915.27,1000
1PC,293,1.868,1000,1000,1000000,-1915.27,1000
1PC,294,1.858,1000,1000,1000000,-1915.27,1000
1PC,295,1.869,1000,1000,1000000,-1915.27,1000
1PC,296,1.862,1000,1000,1000000,-1915.27,1000
1PC,297,1.871,1000,1000,1000000,-1915.27,1000
1PC,298,1.866,1000,1000,1000000,-1915.27,1000
1PC,299,1.883,1000,1000,1000000,-1915.27,1000
1PC,300,1.914,1000,1000,1000000,-1915.27,1000
1PC,301,1.866,1000,1000,1000000,-1915.27,1000
1PC,302,1.849,1000,1000,1000000,-1915.27,1000
1PC,303,1.864,1000,1000,1000000,-1915.27,1000
1PC,304,1.856,1000,1000,1000000,-1915.27,1000
1PC,305,1.879,1000,1000,1000000,-1915.27,1000
1PC,306,1.997,1000,1000,1000000,-1915.27,1000
1PC,307,1.908,1000,1000,1000000,-1915.27,1000
1PC,308,1.961,1000,1000,1000000,-1915.27,1000
1PC,309,1.872,1000,1000,1000000,-1915.27,1000
1PC,310,1.892,1000,1000,1000000,-1915.27,1000
1PC,311,1.904,1000,1000,1000000,-1915.27,1000
1PC,312,1.917,1000,1000,1000000,-1915.27,1000
1PC,313,1.875,1000,1000,1000000,-1915.27,1000
1PC,314,1.981,1000,1000,1000000,-1915.27,1000
1PC,315,1.955,1000,1000,1000000,-1915.27,1000
1PC,316,1.945,1000,1000,1000000,-1915.27,1000
1PC,317,2.079,1000,1000,1000000,-1915.27,1000
1PC,318,2.205,1000,1000,1000000,-1915.27,1000
1PC,319,1.944,1000,1000,1000000,-1915.27,1000
1PC,320,1.916,1000,1000,1000000,-1915.27,1000
1PC,321,1.916,1000,1000,1000000,-1915.27,1000
1PC,322,1.89,1000,1000,1000000,-1915.27,1000
1PC,323,1.825,1000,1000,1000000,-1915.27,1000
1PC,324,1.843,1000,1000,1000000,-1915.27,1000
1PC,325,1.832,1000,1000,1000000,-1915.27,1000
1PC,326,2.065,1000,1000,1000000,-1915.27,1000
1PC,327,2.156,1000,1000,1000000,-1915.27,1000
1PC,328,1.908,1000,1000,1000000,-1915.27,1000
1PC,329,1.866,1000,1000,1000000,-1915.27,1000
1PC,330,1.895,1000,1000,1000000,-1915.27,1000
1PC,331,1.867,1000,1000,1000000,-1915.27,1000
1PC,332,1.905,1000,1000,1000000,-1915.27,1000
1PC,333,1.877,1000,1000,1000000,-1915.27,1000
